generation,hypervolume,spacing,n_pareto_solutions
0,2.022109330673068,3433.814712852129,11
1,4.328375790616593,378.66915195282365,15
2,2.7095432290434993,592.2217640664827,26
3,6.646206909347723,232.6176864558649,44
4,9.905682166066946,187.05084545279237,52
5,8.931045134364034,152.17468538429875,52
6,6.7019221510195015,27.176694491935915,52
7,6.937667387567064,368.6012381688422,52
8,5.766280940357127,47.71958052153247,52
9,5.960009950339453,47.71958052153247,52
10,5.5072491499601,252.1886407234446,52
11,5.921796416862642,190.06346078930162,52
12,8.181609405533552,59.49669856038558,52
13,7.9300002900983815,0.0,52
14,7.530450668988191,83.45003016581104,52
15,7.008789390880549,47.71958052153247,52
16,7.008789390880549,47.71958052153247,52
17,8.170976218686707,96.4614980914511,52
18,8.127205919907116,104.5504624246798,52
19,8.127205919907114,104.5504624246798,52
20,8.127205919907116,104.5504624246798,52
21,8.129706837324402,115.69916888039903,52
22,8.020940890743509,112.67884376439093,52
23,7.64576726115255,109.99834798015537,52
24,7.779905500050484,104.55046242467981,52
25,7.779905500050484,104.55046242467981,52
26,7.489983242846957,142.85652900293877,52
27,7.4899832428469555,142.85652900293877,52
28,7.336015326891195,112.67884376439092,52
29,7.336015326891195,112.6788437643909,52
30,7.336015326891195,112.67884376439092,52
