simulation_id,dominance_rank,crowding_distance,annual_consumption_kwh,comfort_hours,peak_cooling_kw,is_validated,wall_u_value,roof_u_value,window_u_value,window_shgc,window_to_wall_ratio,infiltration_ach,hvac_cop,hvac_setpoint_cooling,hvac_setpoint_heating,lighting_power_density,equipment_power_density,occupancy_density
nsga2_20260116_170241_r0_0,0,inf,37270.93461597362,4933.895744578809,26.473461847455603,True,1.0143713023706937,0.4992868092307837,3.820367966418016,0.3660186762260359,0.4092833848755898,0.6191116280676382,2.8090816388999857,22.996379955536877,20.154780079365167,6.383740615161557,8.859973506494903,0.1185926153569324
nsga2_20260116_170241_r0_1,0,0.022854600325044036,37270.93461597362,4933.895744578809,26.473461847455603,False,0.9850473758477303,0.4992868092307837,3.8364021793859764,0.5046374974686074,0.5681612771552398,0.6429154727564536,3.1788661600895454,22.94489081852217,20.219634356920267,6.383740615161557,10.805800271068549,0.1189254595743114
nsga2_20260116_170241_r0_2,0,0.024942815035554258,43833.86401778116,4054.956124970744,21.533001398531788,False,0.22452376169681212,0.37909808294517044,3.9286007063059207,0.5023962259125514,0.41062596940639406,0.6426468609580442,4.248904477564923,23.021669405251085,21.138211073935643,12.564583726317107,8.399950115274319,0.07047478314829438
nsga2_20260116_170241_r0_3,0,inf,43833.86401778116,4054.956124970744,21.533001398531788,True,0.22452376169681212,0.37909808294517044,3.9286007063059207,0.48102134292703036,0.4083321164355763,0.6426468609580442,4.248904477564923,23.021669405251085,21.138320780878786,7.60842840346748,8.399950115274319,0.0707349215662152
nsga2_20260116_170241_r0_4,0,inf,47158.515845764865,4408.140880317979,19.242409063087443,True,0.21162975073642468,0.5754900723117643,5.342021776673666,0.36267242937504324,0.40891055463641324,0.7029673237929158,4.542044595570337,25.415594245257623,21.215005703329766,12.618922173307022,19.45840640672514,0.06873740461644952
nsga2_20260116_170241_r0_5,0,inf,47158.515845764865,4408.140880317979,19.242409063087443,True,0.21162975073642468,0.5754900723117643,5.342021776673666,0.36267242937504324,0.40891055463641324,0.7029673237929158,4.542044595570337,25.415594245257623,21.215005703329766,12.618922173307022,19.45840640672514,0.06873740461644952
nsga2_20260116_170241_r0_6,0,inf,43579.352620575584,5599.679216231869,33.198692277348286,True,0.8596217151805614,0.41816634234557726,3.6369187648636023,0.5261563343863259,0.2049371112524015,0.7106564638771118,4.115879844230342,24.421444648064675,21.2215140400195,14.292862870304429,8.90511620286129,0.06555675688298346
nsga2_20260116_170241_r0_7,0,inf,43579.352620575584,5599.679216231869,33.198692277348286,True,0.8460567919967432,0.37956407009420023,3.6697627377526754,0.5241456086890731,0.19960412081473108,0.7106289711442051,4.377766005542562,25.422618742593922,19.64088137736207,12.623439386957171,18.63036076368177,0.06555978949059207
nsga2_20260116_170241_r0_8,0,0.08669619629256928,44597.52837440221,4134.274013873595,20.891366502467072,True,0.21162975073642468,0.5754900723117643,5.342021776673666,0.36026199675303916,0.40891055463641324,0.6182587127307606,4.514450100214107,25.431437264163314,21.138320780878786,7.513594043625873,19.45840640672514,0.0763442470115088
nsga2_20260116_170241_r0_9,0,0.03343478914046627,44597.52837440221,4134.274013873595,20.891366502467072,False,0.21504008554929824,0.5754900723117643,5.342021776673666,0.36026199675303916,0.40891055463641324,0.6182587127307606,4.514450100214107,25.39286439273428,21.156989454211754,7.715963383900481,19.45908130519842,0.07084678515834815
nsga2_20260116_170241_r0_10,0,0.07787523997802816,39168.03947772865,4655.285486957746,24.127305557540883,True,1.5780749024036667,0.8537547473177759,3.820367966418016,0.36475846815052304,0.5674967795476208,0.642873781035783,3.1792877677054614,22.996379955536877,20.154780079365167,6.383740615161557,10.775137756738241,0.11939498122990523
nsga2_20260116_170241_r0_11,0,0.04948885782127032,39168.03947772865,4655.285486957746,24.127305557540883,False,1.603377298881552,0.8537547473177759,3.820367966418016,0.36475846815052304,0.4086598161652333,0.6190699363469676,2.809503246520768,23.000023656568224,21.06481750547325,6.383740615161557,8.82918102312802,0.11937340010949907
nsga2_20260116_170241_r0_12,0,0.01994949381394447,44833.43886931041,4820.961186095605,21.241633657787407,False,0.41408314913699085,0.5758027653613754,5.342021776673666,0.5001932696104483,0.410481938441317,0.7029670138665036,4.539246919624159,25.39293046104974,21.156220282870247,12.577577964265439,8.90428141706806,0.12914246404553448
nsga2_20260116_170241_r0_13,0,0.06394713523450768,44833.43886931041,4820.961186095605,21.241633657787407,False,0.413631222454881,0.5758027653613754,5.342021776673666,0.5001932696104483,0.4104519107031047,0.7029076716941282,4.5392372216201995,25.39293046104974,21.156220282870247,12.577577964265439,8.90428141706806,0.12947393339529512
nsga2_20260116_170241_r0_14,0,0.07629710282653777,38404.3751211076,4575.967598054895,24.7689404536056,True,0.6748375342200461,0.37909808294517044,3.9286007063059207,0.35947420296123184,0.3887775230907836,0.6449183721729397,2.7803405723478885,23.039438914410294,20.6263587710394,7.5189330782429415,19.89866210138967,0.07651146261387883
nsga2_20260116_170241_r0_15,0,0.06768245289498474,40612.14080106408,5304.4804304938825,30.144360716128165,True,0.8713047427952718,0.5242039135516843,1.086862312787948,0.525135011130689,0.405934164166721,0.7117970584281899,4.132651723811911,24.496980408800578,20.13391705242824,14.190589441559023,8.761509966583098,0.1382472739324034
nsga2_20260116_170241_r0_16,0,0.05738646607791383,43808.120418765255,5503.569405401452,31.598390032784785,False,0.8713047427952718,0.524749042180336,3.727123346310132,0.525135011130689,0.22360422749516487,0.7109853743771125,4.132651723811911,24.420893850800777,20.119208416848714,14.215715195100037,8.563530801917972,0.13904191869385035
nsga2_20260116_170241_r0_17,0,0.024762294464484785,41729.026949091305,4929.152353402131,22.478348118161254,False,0.6548730359903654,0.5759958054177275,3.781996822525166,0.3614571154465249,0.40647699164507645,0.7029673237929158,4.128246709254242,25.420947800590106,18.182229888738803,12.539140394204805,9.567475712689978,0.0713277737111566
nsga2_20260116_170241_r0_18,0,0.05568009307837289,41729.026949091305,4929.152353402131,22.478348118161254,False,0.6548730359903654,0.5759958054177275,3.781996822525166,0.3614571154465249,0.40647699164507645,0.7029673237929158,4.128246709254242,25.420947800590106,18.182229888738803,12.539140394204805,9.567475712689978,0.0713277737111566
nsga2_20260116_170241_r0_19,0,0.053311099827942694,45463.39197122144,5527.790603851713,29.358297292865434,False,0.6398510243216372,0.5195916314056114,3.6692240854751628,0.5268225754390792,0.1867601035031117,0.7139274705385048,4.364197218174298,24.42027916782589,21.21708574984433,12.649315538111178,8.724502287776758,0.14022675737453294
nsga2_20260116_170241_r0_20,0,0.024296700022826998,45463.39197122144,5527.790603851713,29.358297292865434,False,0.6398510243216372,0.5195916314056114,3.6692240854751628,0.5268225754390792,0.1867601035031117,0.7139274705385048,4.364197218174298,24.42027916782589,21.21708574984433,12.649315538111178,8.724502287776758,0.14022675737453294
nsga2_20260116_170241_r0_21,0,0.028590193758175356,37499.702414163294,4837.785933748394,24.87315960289211,False,1.5408687704374586,0.5217681186148637,3.820367966418016,0.35326925124453035,0.5674967795476208,0.642873781035783,3.1950552190151793,22.996379955536877,19.694292054527295,6.383740615161557,10.775137756738241,0.11939498122990523
nsga2_20260116_170241_r0_22,0,0.05230588837904874,37499.702414163294,4837.785933748394,24.87315960289211,False,1.0055715274025074,0.5238057105457713,3.9294352819558025,0.48167494019237245,0.5662245027920213,0.548315554865297,2.8281420894844413,23.020242752657886,21.12582894298591,7.587013244706339,8.967833429715022,0.06961298200928413
nsga2_20260116_170241_r0_23,0,0.036802807259348695,42929.19131083685,4316.774460664244,21.637220547818295,False,0.20964496061889104,0.5708256920545023,1.4140762603614285,0.36026199675303916,0.40885162115173845,0.551988591862178,4.517931636321613,25.406068686866103,20.204101725032245,7.513594043625873,19.45840640672514,0.0763442470115088
nsga2_20260116_170241_r0_24,0,0.051075054690261336,42929.19131083685,4316.774460664244,21.637220547818295,False,0.2123012171449034,0.5247450896529409,1.2511531141448522,0.5117741144646519,0.406243697651291,0.5530509565374582,4.542700773921868,24.45731390458162,20.62334182499942,12.886771778006427,19.230754732543666,0.06983736807243578
nsga2_20260116_170241_r0_25,0,0.028865963653400023,46361.08142344623,5202.550607793824,23.44151701979525,False,0.4172421090808477,0.5769313512939893,3.7325299305002813,0.49506428438006733,0.23085881428932029,0.7027740746503492,4.504462196261555,25.449502122252262,21.158133321580056,7.592692566435862,9.749650772740287,0.07633976242215429
nsga2_20260116_170241_r0_26,0,0.04736477627381812,46361.08142344623,5202.550607793824,23.44151701979525,False,0.4172421090808477,0.5769313512939893,3.7325299305002813,0.49506428438006733,0.23085881428932029,0.7027740746503492,4.504462196261555,25.449502122252262,21.158133321580056,7.592692566435862,9.749650772740287,0.07633976242215429
nsga2_20260116_170241_r0_27,0,0.015723121054724305,40383.37300287441,5400.590241324298,31.744662960691663,False,0.8596217151805614,0.41816634234557726,3.6369187648636023,0.5261563343863259,0.41956034630102423,0.7140644547191246,4.101303719524621,24.421444648064675,21.2215140400195,14.292862870304429,8.90511620286129,0.06536150005053692
nsga2_20260116_170241_r0_28,0,0.04631601099706477,40383.37300287441,5400.590241324298,31.744662960691663,False,0.8460567919967432,0.37956407009420023,3.6697627377526754,0.5241456086890731,0.41422735019423806,0.7140369619862179,4.363189880836842,25.422618742593922,19.64088137736207,12.623439386957171,18.63036076368177,0.06536453265814555
nsga2_20260116_170241_r0_29,0,0.048835595196465256,43027.90170503745,5406.851585930765,26.278533724732597,False,0.6398510243216372,0.5195916314056114,3.9359008444490393,0.4810454772313185,0.21021334953809404,0.7139274705385048,4.5184896090909215,24.42027916782589,21.21708574984433,12.649315538111178,8.724502287776758,0.14022675737453294
