10.2139/ssrn.5563440
10.1016/j.aei.2024.102379
10.1177/03064190241272728
10.3390/educsci15111443
10.1016/j.cma.2024.117397
10.1109/ACCESS.2024.3504962
10.3390/en17122997
10.54097/3veq6255
10.1186/s40561-024-00354-1
10.5258/soton/p1254
10.1038/s41598-025-96443-3
10.1016/j.autcon.2025.106611
10.1109/tsg.2024.3524756
10.1063/5.0161114
10.1016/j.egyai.2024.100346
10.1016/j.jcp.2019.05.024

10.3390/en18236363
10.21203/rs.3.rs-7718099/v1
