timestamp,temp_ext,temp_int,heat_flux_w
2026-05-19 00:00:00,5.0,20.0,-650.0
2026-05-19 01:00:00,5.370827126522006,15.32,-397.45864367389976
2026-05-19 02:00:00,6.455805954535114,12.458297765547922,-200.1245905506404
2026-05-19 03:00:00,8.17446856781346,11.017400713583312,-42.14660728849262
2026-05-19 04:00:00,10.39934962268848,10.713945141106166,84.27022407911568
2026-05-19 05:00:00,12.965439869473661,11.320690754475798,182.23745574989314
2026-05-19 06:00:00,15.682424133646709,12.632800435875028,252.48118488858404
2026-05-19 07:00:00,18.348796121709864,14.450664967072832,294.90655773185154
2026-05-19 08:00:00,20.76680322114867,16.573992182742163,309.6405519203254
2026-05-19 09:00:00,22.757112907044196,18.803404156568504,297.68543752378457
2026-05-19 10:00:00,24.172113015054528,20.946739306739754,261.2686854157387
2026-05-19 11:00:00,24.906859460363307,22.827873841733073,203.94928093151174
2026-05-19 12:00:00,24.906859460363307,24.29630866443996,130.52753979616742
2026-05-19 13:00:00,24.17211301505453,25.236106950972363,46.800303204108396
2026-05-19 14:00:00,22.7571129070442,25.573069134041944,-40.79781134988724
2026-05-19 15:00:00,20.76680322114867,25.279324892322755,-125.62608355870424
2026-05-19 16:00:00,18.348796121709864,24.374817090700084,-201.30104844951103
2026-05-19 17:00:00,15.682424133646713,22.925449541863603,-262.1512704108445
2026-05-19 18:00:00,12.965439869473666,21.03796039490552,-303.62602627159276
2026-05-19 19:00:00,10.399349622688483,18.851853005750055,-322.6251691530786
2026-05-19 20:00:00,8.174468567813465,16.528951787847888,-317.72416100172114
2026-05-19 21:00:00,6.455805954535114,14.241337828635496,-289.2765937050191
2026-05-19 22:00:00,5.370827126522007,12.158546353959359,-239.3859613718676
2026-05-19 23:00:00,5.0,10.434967432081912,-239.3859613718676
