is_feasible,feasibility_ratio,total_violation,annual_consumption_kwh,comfort_hours,peak_cooling_kw,penalized_consumption,n_active_constraints,wall_u_value,roof_u_value,window_u_value,window_shgc,window_to_wall_ratio,infiltration_ach,hvac_cop,hvac_setpoint_cooling,hvac_setpoint_heating,lighting_power_density,equipment_power_density,occupancy_density,violation_max_annual_consumption,violation_min_comfort_hours,violation_max_peak_cooling,violation_max_comfort_hours,violation_min_consumption
True,1.0,0.0,37947.88273669042,5279.65122340335,28.66489939255883,37947.88273669042,0,0.8361584827448927,0.4697752546155508,4.512364818597378,0.3648836213288817,0.5113071592568392,0.8084859043785153,4.168874748228676,22.382141255338674,20.495437298706292,9.517676787372292,15.03930155810569,0.06680142077448634,0,0.0,0,0,0
True,1.0,0.0,40466.91423367479,5132.9847194863805,27.92749116411223,40466.91423367479,0,0.8708393306221651,0.5006676080764404,4.255390511598632,0.49752544104726254,0.14052310795382397,0.5642198423397735,4.20814690914899,22.3045234379612,21.404827656195074,9.951465270139742,13.767038927919776,0.10924077846595176,0,0.0,0,0,0
True,1.0,0.0,40695.68203186447,5036.874908655964,26.32718891954873,40695.68203186447,0,1.527502246597547,0.7604942202012397,2.010721703229919,0.4714637096796161,0.17042851018989993,0.5116643838074679,3.7459194318486992,23.675701798018192,21.6593836042724,8.62393899116633,14.967060203336521,0.11322642879195303,0,0.0,0,0,0
True,1.0,0.0,40695.68203186447,5036.874908655964,26.32718891954873,40695.68203186447,0,0.8383198837533978,0.5377726387330104,2.3333865420519553,0.340164650629946,0.12104659481818095,0.3214487216800966,4.969305974340079,23.71109253494345,19.537306588638728,11.7964728269307,10.619046654380771,0.14499611839502252,0,0.0,0,0,0
True,1.0,0.0,40695.68203186447,5036.874908655964,26.32718891954873,40695.68203186447,0,0.8994045822866223,0.7557363905404164,2.0689485889344734,0.4239510749776041,0.21363481363157574,0.3878351085221323,4.008621483453445,24.672851194220065,20.47796138403846,9.634940438005724,12.557429362150758,0.1363333649571825,0,0.0,0,0,0
False,0.8,12.225898532971769,42926.75508229673,4987.774101467028,28.372024578995127,43001.49137976599,1,1.1587110796190416,0.477335179906885,2.2115945392722143,0.42637049786277365,0.11003559888886319,0.6864949986998139,3.0286200174913613,23.309989408711658,18.479048527277005,13.90527280739895,15.123109442648584,0.11791023191444895,0,12.225898532971769,0,0,0
False,0.8,25.61482254306884,44432.6675640987,4974.385177456931,25.878724492207517,44760.72713105516,1,1.0209259715906647,1.2099875478805684,1.8985320197126188,0.508540663048167,0.39620728443102127,0.35574049526399726,4.018862129753596,22.682096494749167,18.260206371941116,14.488855372533333,19.587584396894712,0.13083973481164612,0,25.61482254306884,0,0,0
False,0.8,25.61482254306884,44432.6675640987,4974.385177456931,25.878724492207517,44760.72713105516,1,1.7947599468251367,0.9814153040461112,2.048317636391352,0.21464046893392283,0.5350494369504649,0.32552329302046457,4.686754181710499,24.115748536108846,21.756270794051584,12.987832357736654,19.975209326400048,0.08507118154517102,0,25.61482254306884,0,0,0
False,0.8,25.61482254306884,44432.6675640987,4974.385177456931,25.878724492207517,44760.72713105516,1,1.6541226954942654,1.1790849319484313,4.590161419863855,0.46134998888775985,0.5089171080875108,0.4442508664447301,3.8612227449021237,22.023034641992485,19.29834331960108,8.66461534871398,12.754072299311066,0.11954672066898621,0,25.61482254306884,0,0,0
True,1.0,0.0,45109.6156848155,5320.140656281471,28.07016203731074,45109.6156848155,0,0.8776340603804893,1.2442469965554743,5.44274258191725,0.2902501346621169,0.39706535767606754,0.7570690279572259,4.924785994536508,25.368475692542834,21.353314818844552,9.686931597949702,12.977834028051982,0.07734070719307062,0,0.0,0,0,0
True,1.0,0.0,45109.6156848155,5320.140656281471,28.07016203731074,45109.6156848155,0,0.8310576058518746,0.9463888772537548,2.7650982029487956,0.4624849532142375,0.5520793472468742,0.7179065604279604,3.784973722899527,25.134612050964574,19.58617112928508,11.220867002278734,18.34836450496094,0.1449520623657642,0,0.0,0,0,0
False,0.8,53.6037724547532,44453.79481321462,4946.396227545247,27.58296449644276,45890.4770239051,1,0.3789945069668213,0.47828245784926304,4.250201193350466,0.7134178808637714,0.5151099322834958,0.7766202355421458,4.170212841426615,22.819937181663285,19.172590921044055,13.963358185211197,8.156023082128833,0.05855085308544681,0,53.6037724547532,0,0,0
False,0.8,90.37585551959455,42166.265730779545,4909.624144480405,29.997758830471337,46250.16336122886,1,1.6037217112720585,0.29442386241639384,4.424625561259126,0.5247599472056662,0.5814960019294974,0.7102465992464233,4.081554732834871,25.72811242204007,18.410038911962715,14.372284872364512,16.254628667609758,0.05678370591051719,0,90.37585551959455,0,0,0
True,1.0,0.0,46361.08142344623,5202.550607793824,23.44151701979525,46361.08142344623,0,0.5040831135298962,0.5260969576931441,1.7965471792453607,0.2532215202542334,0.1603179355503004,0.852934521639271,3.0158342960144813,23.457079444192303,20.013669083419426,11.903948286293653,8.471745678093187,0.12994103989090428,0,0.0,0,0,0
True,1.0,0.0,46361.08142344623,5202.550607793824,23.44151701979525,46361.08142344623,0,0.4700875964491717,0.588312501301581,4.318106848245098,0.48561087762126,0.2879441425728847,0.7733715342840424,3.6486169210149666,25.140066175348228,21.568338755760937,14.553346865039282,17.44284063506354,0.08154068957480128,0,0.0,0,0,0
True,1.0,0.0,46868.15783028268,5095.324195377878,28.958488060340347,46868.15783028268,0,0.5260688291624246,1.0695091028527268,1.8164725646303213,0.5150980302002361,0.4545231308612163,0.4282523077136926,3.918280549072259,23.026251134805456,21.85170750095032,9.835456467199247,17.671910597301896,0.10502265421562618,0,0.0,0,0,0
False,0.8,116.30030751545746,42213.1428375237,4883.6996924845425,30.322363468289346,48976.02360161868,1,1.3128585887545328,0.6480334134191927,3.0814062225991656,0.648482562880254,0.11834160144529896,0.6029243332128249,4.283373964711381,25.580827350748798,20.046709768462666,10.321134852653156,9.286064136077313,0.09474123668234546,0,116.30030751545746,0,0,0
False,0.8,108.33570936338765,43155.52288048641,4891.664290636612,26.771722334431626,49023.83584212061,1,1.1343472132451926,0.7968955348001369,1.1153892961289607,0.40474869657569384,0.2900978093929285,0.7785873370762806,3.950430923068331,24.134410186907512,20.43162037117378,12.648832615421282,17.75582886459312,0.12181230762264944,0,108.33570936338765,0,0,0
False,0.8,45.21062350554894,49247.17083238201,4954.789376494451,30.142628560289573,50269.17107126226,1,0.6206817474387795,0.8790160847160894,4.960355894026562,0.5905264214283166,0.3664788932756676,0.6892005037384508,3.3325047826454948,24.67794782079276,21.97655744488467,11.618391898493787,14.693401008440299,0.12306505102392461,0,45.21062350554894,0,0,0
False,0.8,49.88642264147347,49327.99867890462,4950.1135773585265,29.403021475223248,50572.32626088648,1,0.8987058671717394,1.0184390948971769,3.062138007211825,0.527370073589561,0.5707324043882626,0.7633231653609291,4.902976409559786,25.621402567824255,18.783164539157184,5.6936130087516545,9.20933601652912,0.05182218256515497,0,49.88642264147347,0,0,0
False,0.8,117.88543695724911,45803.113021449266,4882.114563042751,26.50841639664651,52751.60114475004,1,0.5234295959664356,0.47068348864723486,5.371277923187378,0.3085861716256939,0.5271925466847895,0.8907334277376417,3.1180776860079424,25.482999605090047,19.781221020010662,10.148173539296902,12.310800432797189,0.10929508514349273,0,117.88543695724911,0,0,0
True,1.0,0.0,52994.33811309283,5427.0642831650575,27.89887294621558,52994.33811309283,0,0.715774253830912,0.9476249017681646,1.1372511247257224,0.22240891324952866,0.5113002803298291,0.7322287696935155,2.817651281629712,24.088973040219216,21.079974212394443,7.1582102749684315,15.474685709828004,0.0585347464993768,0,0.0,0,0,0
False,0.8,62.57279703997938,52369.49962639805,4937.427202960021,35.34955081918539,54327.17709110128,1,0.8110103465770508,1.2500139035577915,1.3605168087310382,0.7368899936363167,0.3737961880768681,1.2807573239549923,3.6307957112957503,24.5743107807861,20.105610643744452,12.315895217553319,8.979559784367074,0.05603520839905638,0,62.57279703997938,0,0,0
False,0.8,40.39795307671466,56475.369413429464,4959.602046923285,32.62766007561155,57291.36671982368,1,0.6583531785747749,1.0700286750023045,4.42102536950359,0.5573832443647067,0.33578809427507916,0.7942090969767222,3.372170666357488,25.718116576991303,21.322477631150917,14.650269106665126,9.491566681826537,0.12308674752036443,0,40.39795307671466,0,0,0
False,0.8,147.3215799603031,48590.64698515214,4852.678420039697,32.798949166706706,59442.47094615213,1,0.8157471476886335,1.2586973613072174,1.4978428162984325,0.7078713750407111,0.1637443311659912,0.7767447486724407,4.493238414448884,22.599669709395094,18.917005580930567,12.222525683930662,16.64043843855289,0.11411476328852972,0,147.3215799603031,0,0,0
True,1.0,0.0,60254.22205467538,5044.350829843608,35.17826172809024,60254.22205467538,0,0.7857194566866819,1.1577633969093326,3.923348045712466,0.7095340462965067,0.4288064461501717,0.9819703240025659,2.7341869195702313,23.470863212237735,19.060809470726902,7.439896433790835,19.676126657029346,0.08930977246667604,0,0.0,0,0,0
True,1.0,0.0,61172.25151520013,5318.465063935979,34.262850747482446,61172.25151520013,0,0.6179828512642711,1.3644256739206675,2.7275104961794514,0.5261317166683932,0.5532360554822735,1.0490855950967906,2.7922451017709102,25.7593284944539,20.51083221228567,8.349056146570861,9.671264871960647,0.1294025189270296,0,0.0,0,0,0
False,0.8,170.82544056242205,46892.50841272064,4829.174559437578,26.323257907090415,61483.173984393434,1,0.9555091704670202,1.0120100293465155,2.789174790832574,0.364529121409202,0.5919888239799141,0.7912008075780517,4.735248009197836,22.919818423564344,18.852418816100332,5.311340828845114,15.82000190451062,0.08685263437237611,0,170.82544056242205,0,0,0
False,0.8,178.79003871449095,45950.128369757935,4821.209961285509,29.87389904094814,61933.067341522525,1,0.8743027063276483,0.9949108862142192,3.2641131636103946,0.7138939047129935,0.42934681580947254,0.4955213124977156,2.6764218685010746,24.56967711282526,18.106045242166488,10.857755812734633,19.28276289709949,0.10754741778758789,0,178.79003871449095,0,0,0
False,0.8,224.943427037535,41600.354738808775,4775.056572962465,26.22296977026222,66900.12742250419,1,0.7127128898794417,0.19979737892861926,3.743039502909536,0.501607413937317,0.12573937562499468,0.6343757570839337,4.770664714916634,22.95824756266789,18.579579488364892,9.89452760277563,19.827805449327208,0.07420552715115004,0,224.943427037535,0,0,0
False,0.8,224.943427037535,41600.354738808775,4775.056572962465,26.22296977026222,66900.12742250419,1,0.9175934499901637,0.34760488941903633,2.6539049003118915,0.24090338563129615,0.1129059534747435,0.4621995469857873,4.907787778972935,24.198118143580068,21.86328864461288,9.324978783301319,11.741793597023115,0.10061418628402441,0,224.943427037535,0,0,0
False,0.8,196.89067312755105,54773.639011763866,4803.109326872449,28.923335097562017,74156.60759407394,1,0.494342970653041,0.677960074479877,5.362355450508794,0.3548800596206766,0.4283683322706461,0.6902280770696338,4.4336828142165015,22.5234946428734,21.87928418031418,9.537895413836392,10.832605560157567,0.05734967473300127,0,196.89067312755105,0,0,0
False,0.8,303.0933840241578,40839.86538729159,4696.906615975842,27.84870402173844,86772.66510689938,1,0.9653843080446203,0.1803335662321585,2.2090481172322574,0.5249805287965201,0.4167391099130736,0.6094652225198427,2.84839018518206,25.339720947197197,21.937608722814208,10.256901823026858,10.060151430179642,0.07723073265193689,0,303.0933840241578,0,0,0
False,0.8,300.2064342150452,48324.9045875846,4699.793565784955,31.77317823544381,93386.85615964072,1,0.8139194318904655,0.3031892536747952,5.161121282253532,0.7264036120285886,0.2289708138575778,1.0919808552410148,4.54305550050304,24.22080324639785,20.118602313424027,7.418522909004517,9.11723321367079,0.13972157579533268,0,300.2064342150452,0,0,0
False,0.8,344.7145130422541,39168.03947772865,4655.285486957746,24.127305557540883,98582.08722870785,1,1.8728767804296544,0.9016299055688053,3.5722571026145493,0.36798745619617057,0.48474646659596843,0.5244524982690281,3.309198091010609,23.701745754465666,20.03044151473782,7.424097324150802,9.378041896870442,0.11106200424416326,0,344.7145130422541,0,0,0
False,0.8,344.7145130422541,39168.03947772865,4655.285486957746,24.127305557540883,98582.08722870785,1,0.7195349958324604,0.9346715989205266,1.6946322187339105,0.48868406111289053,0.3662947162757929,0.36218824418691226,3.3415106954848017,22.537658707755895,18.25349988189107,14.899602323899453,11.868246139696677,0.13098744458546346,0,344.7145130422541,0,0,0
False,0.8,344.7145130422541,39168.03947772865,4655.285486957746,24.127305557540883,98582.08722870785,1,1.2642957843408726,0.688653650224676,1.246427374699141,0.4011183449875406,0.5014267242990057,0.30555842760552343,3.3337479292278607,23.592674774363772,20.14958241175169,14.198556164127606,12.156151932391534,0.08469532018962277,0,344.7145130422541,0,0,0
False,0.8,344.7145130422541,39168.03947772865,4655.285486957746,24.127305557540883,98582.08722870785,1,1.536871738159966,0.7244160015049018,2.556707466461333,0.42262325779076165,0.5938247818680289,0.34813102969497894,4.667578740306121,24.314701634289573,19.75446167675836,12.252576604151365,13.840027297096434,0.13734232380816605,0,344.7145130422541,0,0,0
